common_name,scientific_name,category
Kidneyshell,Ptychobranchus fasciolaris,Freshwater Mussels
Killdeer,Charadrius vociferus,Birds
King Eider,Somateria spectabilis,Birds
King Rail,Rallus elegans,Birds
King'S Hairstreak,Satyrium kingi,Butterflies and Skippers
Kirtland'S Warbler,Setophaga kirtlandii,Birds
Knee-Joint Dart Moth,Feltia geniculata,Other Moths
Knobbed Salmonfly,Pteronarcys biloba,Stoneflies
Labrador Carpet Moth,Xanthorhoe labradorensis,Other Moths
Lace-Winged Roadside-Skipper,Amblyscirtes aesculapius,Butterflies and Skippers
Ladder Net-Spinning Caddisfly,Hydropsyche scalaris,Caddisflies
Lake Chubsucker,Erimyzon sucetta,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Lake Fingernailclam,Musculium lacustre,Other Molluscs
Lambdsnaggletooth Snail,Gastrocopta holzingeri,Terrestrial Snails
Lamellate Spot,Punctum smithi,Terrestrial Snails
Lamellate Supercoil,Paravitrea lamellidens,Terrestrial Snails
Lance Aplexa,Sibirenauta elongata,Freshwater Snails
Lance-Tipped Darner,Aeshna constricta,Dragonflies and Damselflies
Lane Cave Isopod,Lirceus bisetus,Isopods
Lapland Longspur,Calcarius lapponicus,Birds
Lapped Elimia,Elimia dislocata,Freshwater Snails
Laprairie Small Minnow Mayfly,Labiobaetis frondalis,Mayflies
Large Bomolochmoth,Hypena edictalis,Other Moths
Large Grey Pinion Moth,Lithophane georgii,Other Moths
Large Looper Moth,Autographa ampla,Other Moths
Large Maple Spanworm Moth,Prochoerodes lineola,Other Moths
Large Paectes Moth,Paectes abrostoloides,Other Moths
Large Square-Gilled Mayfly,Neoephemera eatoni,Mayflies
Large Squash Bee,Xenoglossa strenua,Squash Bees
Largemouth Bass,Micropterus nigricans,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Largescale Stoneroller,Campostoma oligolepis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Lark Sparrow,Chondestes grammacus,Birds
Lash Springfly,Remenus bilobatus,Stoneflies
Late Hex Burrowing Mayfly,Hexagenia atrocaudata,Mayflies
Late Long-Horned Caddisfly,Triaenodes tardus,Caddisflies
Laughing Giant Caddisfly,Banksiola dossuaria,Caddisflies
Laughing Gull,Leucophaeus atricilla,Birds
Leach'S Storm-Petrel,Hydrobates leucorhous,Birds
Lead-Colored Lichen Moth,Cisthene plumbea,Tiger Moths
Leaf Beetle,Pseudolampsis guttata,Other Beetles
Leaf-Cutter Bee,Megachile pusilla,Leafcutter Bees
Leafcutter Bee,Megachile exilis,Leafcutter Bees
Least Bittern,Botaurus exilis,Birds
Least Brook Lamprey,Lampetra aepyptera,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Least Flycatcher,Empidonax minimus,Birds
Least Sallfly,Haploperla brevis,Stoneflies
Least Sandpiper,Calidris minutilla,Birds
Least Tern,Sternula antillarum,Birds
Least Weasel,Mustela nivalis,Mammals
Leatherback Seturtle,Dermochelys coriacea,Turtles
Leathery Cutinmoth,Cutina aluticolor,Other Moths
Leconte'S Haplomoth,Haploa lecontei,Tiger Moths
Lee County Cave Amphipod,Stygobromus leensis,Amphipods
Lee County Cave Isopod,Lirceus usdagalun,Isopods
Lemmer'S Noctuid Moth,Lithophane lemmeri,Other Moths
Lemon Cuckoo Bumble Bee,Bombus citrinus,Bumble Bees
Leonard'S Net-Spinning Caddisfly,Hydropsyche leonardi,Caddisflies
Leonard'S Skipper,Hesperia leonardus,Butterflies and Skippers
Lepidostomatid Caddisfly,Lepidostoma carrolli,Caddisflies
Leptophlebiid Mayfly,Habrophlebiodes celeteria,Mayflies
Lesser Black-Backed Gull,Larus fuscus,Birds
Lesser Grapevine Looper Moth,Eulithis diversilineata,Other Moths
Lesser Scaup,Aythya affinis,Birds
Lesser Yellowlegs,Tringa flavipes,Birds
Lettered Sphinx,Deidamia inscriptum,Sphinx Moths
Lewis' Groundwater Isopod,Conasellus meriwetheri,Isopods
Liar Long-Horned Caddisfly,Ceraclea mentiea,Caddisflies
Lichen Moth,Crambidia xanthocorpa,Tiger Moths
Light Marathyssmoth,Marathyssa basalis,Other Moths
Lilypad Clubtail,Arigomphus furcifer,Dragonflies and Damselflies
Limnephilid Caddisfly,Anabolia apora,Caddisflies
Lincoln'S Sparrow,Melospiza lincolnii,Birds
Linden Prominent,Ellida caniplaga,Notodontid Moths
Lined Black Aspen,Egira dolosa,Other Moths
Lined Topminnow,Fundulus lineolatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Little Black Forestfly,Amphinemura nigritta,Stoneflies
Little Black Spiny Crawler Mayfly,Teloganopsis deficiens,Mayflies
Little Blue Heron,Egretta caerulea,Birds
Little Brown Myotis,Myotis lucifugus,Mammals
Little Brown Skink,Scincella lateralis,Reptiles
Little Copper,Lycaena hypophlaeas,Butterflies and Skippers
Little Glassywing,Vernia verna,Butterflies and Skippers
Little Grass Frog,Pseudacris ocularis,Amphibians
Little Gray Firefly,Photinus marginellus,Fireflies and Glow-worms
Little Gull,Hydrocoloeus minutus,Birds
Little Kennedy Cave Beetle,Pseudanophthalmus cordicollis,Ground Beetles
Little Lined Underwing,Catocala lineella,Underwing Moths
Little Metalmark,Calephelis virginiensis,Butterflies and Skippers
Little Nymph Underwing,Catocala micronympha,Underwing Moths
Little Sister Net-Spinning Caddisfly,Cheumatopsyche analis,Caddisflies
Little White Lichen Moth,Clemensia albata,Tiger Moths
Little Wood Satyr,Megisto cymela,Butterflies and Skippers
Little Yellow,Pyrisitia lisa,Butterflies and Skippers
Little Yellow-Face Bee,Hylaeus pictipes,Other Bees
Little-Entrance Oxyethiran Microcaddisfly,Oxyethira janella,Caddisflies
Littlewing Pearlymussel,Pegias fabula,Freshwater Mussels
Litton Cave Isopod,Lirceus littonensis,Isopods
Live Oak Metrimoth,Metria amella,Other Moths
Lobed Roachfly,Tallaperla lobata,Stoneflies
Lobed Stone,Acroneuria internata,Stoneflies
Lofty Microcaddisfly,Palaeagapetus celsus,Caddisflies
Loggerhead Seturtle,Caretta caretta,Turtles
Loggerhead Shrike,Lanius ludovicianus,Birds
Logperch,Percina caprodes,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Long Dash,Polites mystic,Butterflies and Skippers
Long Fingernailclam,Musculium transversum,Other Molluscs
Long-Billed Dowitcher,Limnodromus scolopaceus,Birds
Long-Eared Owl,Asio otus,Birds
Long-Headed Cave Beetle,Pseudanophthalmus longiceps,Ground Beetles
Long-Range Firefly Beetle,Pyractomena dispersa,Fireflies and Glow-worms
Long-Tailed Duck,Clangula hyemalis,Birds
Long-Tailed Jaeger,Stercorarius longicaudus,Birds
Long-Tailed Shrew,Sorex dispar,Mammals
Long-Tailed Weasel,Neogale frenata,Mammals
Longear Sunfish,Lepomis megalotis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Longfin Darter,Etheostoma longimanum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Longhorn Forestfly,Prostoia similis,Stoneflies
Longhorned Beetle,Anthophylax hoffmani,Flower Longhorn Beetles
Longhorned Caddisfly,Ceraclea neffi,Caddisflies
Longhorned Casemaker Caddisfly,Triaenodes ochraceus,Caddisflies
Longnose Crayfish,Cambarus longirostris,Crayfishes
Longnose Dace,Rhinichthys cataractae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Longnose Gar,Lepisosteus osseus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Longsolid,Fusconaia subrotunda,Freshwater Mussels
Longtail Salamander,Eurycea longicauda,Amphibians
Loosestrife Borer Moth,Papaipema lysimachiae,Papaipema Moths
Lost Microcaddisfly,Hydroptila perdita,Caddisflies
Louisianowlet Moth,Macrochilo louisiana,Other Moths
Louisianwaterthrush,Parkesia motacilla,Birds
Lovable Flat-Headed Mayfly,Rhithrogena amica,Mayflies
Lovely Vallonisnail,Vallonia pulchella,Terrestrial Snails
Lowland Pillsnail,Euchemotrema leaii,Terrestrial Snails
Lowlands Spiny Crawler Mayfly,Ephemerella excrucians,Mayflies
Lumber Stripetail,Isoperla fauschi,Stoneflies
Lunate Zale Moth,Zale lunata,Other Moths
Luray Caverns Amphipod,Stygobromus pseudospinosus,Amphipods
Lydibizarre Caddisfly,Lepidostoma lydia,Caddisflies
Mabee'S Salamander,Ambystoma mabeei,Amphibians
Macropis Cuckoo Bee,Epeoloides pilosula,Other Bees
Maculated Small Square-Gilled Mayfly,Sparbarus maculatus,Mayflies
Maddens Cave Beetle,Pseudanophthalmus limicola,Ground Beetles
Madison Cave Isopod,Antrolana lira,Isopods
Madison Cave Stygobromid,Stygobromus stegerorum,Amphipods
Magnolithreetooth,Triodopsis hopetonensis,Terrestrial Snails
Magnoliwarbler,Setophaga magnolia,Birds
Maiden Spring Cave Beetle,Pseudanophthalmus virginicus,Ground Beetles
Maine Blueberry Bee,Osmia atriventris,Mason Bees
Maine Free-Living Caddisfly,Rhyacophila mainensis,Caddisflies
Major Datana,Datana major,Notodontid Moths
Mallard,Anas platyrhynchos,Birds
Manassas Stone,Acroneuria flinti,Stoneflies
Manistee Free-Living Caddisfly,Rhyacophila manistee,Caddisflies
Manitobsmall Minnow Mayfly,Labiobaetis dardanus,Mayflies
Manx Shearwater,Puffinus puffinus,Birds
Many-Lined Carpet Moth,Anticlea multiferata,Other Moths
Many-Lined Salamander,Stereochilus marginatus,Amphibians
Maple Looper Moth,Parallelia bistriaris,Other Moths
Maple Prominent Moth,Cecrita guttivitta,Notodontid Moths
Marbled Carpet Moth,Dysstroma truncata,Other Moths
Marbled Godwit,Limosa fedoa,Birds
Marbled Salamander,Ambystoma opacum,Amphibians
Marbled Underwing,Catocala marmorata,Underwing Moths
March Flat-Headed Mayfly,Maccaffertium vicarium,Mayflies
Marginal Firefly,Pyractomena marginalis,Fireflies and Glow-worms
Margined Flat-Headed Mayfly,Heptagenia marginalis,Mayflies
Margined Madtom,Noturus insignis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Margined Tiger Beetle,Ellipsoptera marginata,Tiger Beetles
Marked Free-Living Caddisfly,Rhyacophila vibox,Caddisflies
Marked Noctuid,Tricholita notata,Other Moths
Maroonwing Moth,Sideridis maryx,Other Moths
Marsh Diver Firefly,Pyractomena palustris,Fireflies and Glow-worms
Marsh Fossaria,Galba humilis,Freshwater Snails
Marsh Imp Firefly,Pyractomena lucifera,Fireflies and Glow-worms
Marsh Killifish,Fundulus confluentus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Marsh Rabbit,Sylvilagus palustris,Mammals
Marsh Ramshorn,Planorbella trivolvis,Freshwater Snails
Marsh Rice Rat,Oryzomys palustris,Mammals
Marsh Wren,Cistothorus palustris,Birds
Martha'S Pennant,Celithemis martha,Dragonflies and Damselflies
Maryland Glyph,Glyphyalinia raderi,Terrestrial Snails
Mason Bee,Osmia chalybea,Mason Bees
Master'S Dart Moth,Feltia herilis,Other Moths
Maureen'S Hydraenan Minute Moss Beetle,Hydraena maureenae,Other Beetles
Maus' Cave Isopod,Pseudobaicalasellus mausi,Isopods
Mayapple Borer Moth,Papaipema rutila,Papaipema Moths
Mayfly,Acentrella nadineae,Mayflies
Maze Pinecone Snail,Strobilops labyrinthicus,Terrestrial Snails
Mccafferty'S Small Square-Gilled Mayfly,Caenis macafferti,Mayflies
Mcdunnough'S Small Minnow Mayfly,Acerpenna macdunnoughi,Mayflies
Mcdunnough'S Spiny Crawler Mayfly,Eurylophella macdunnoughi,Mayflies
Meadow Fritillary,Boloria bellona,Butterflies and Skippers
Meadow Jumping Mouse,Zapus hudsonius,Mammals
Meadow Rue Borer Moth,Papaipema unimoda,Papaipema Moths
Meadow Slug,Deroceras laeve,Terrestrial Snails
Meager Flat-Headed Mayfly,Maccaffertium exiguum,Mayflies
Median Striate,Striatura meridionalis,Terrestrial Snails
Mediterranean Gecko,Hemidactylus turcicus,Reptiles
Melittid Bee,Melitta melittoides,Blunt-horn Bees
Merlin,Falco columbarius,Birds
Merry Melipotis Moth,Melipotis jucunda,Other Moths
Messalinunderwing,Catocala messalina,Underwing Moths
Mexican Clam Shrimp,Cyzicus mexicanus,"Fairy, Clam, and Tadpole Shrimps"
Michigan Hex Burrowing Mayfly,Hexagenia limbata,Mayflies
Michigan Microcaddisfly,Oxyethira michiganensis,Caddisflies
Microcaddisfly,Stactobiella martynovi,Caddisflies
Microspotted Northern Caddisfly,Ironoquia punctatissima,Caddisflies
Mid-Atlantic Coast Leopard Frog,Lithobates kauffeldi,Amphibians
Midland Siltsnail,Cincinnatia integra,Freshwater Snails
Midwest Snowfly,Allocapnia rickeri,Stoneflies
Midwestern Flat-Headed Mayfly,Leucrocuta maculipennis,Mayflies
Midwestern Stone,Agnetina flavescens,Stoneflies
Midwestern Stripetail,Isoperla marlynia,Stoneflies
Milk River Small Minnow Mayfly,Iswaeon rubrolaterale,Mayflies
Milk Snail,Otala lactea,Terrestrial Snails
Mill Creek Springs Isopod,Lirceus katarinae,Isopods
Milne'S Looper Moth,Euchlaena milnei,Other Moths
Mimic Lymnaesnail,Pseudosuccinea columella,Freshwater Snails
Mimic Shiner,Paranotropis volucellus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mimic Threetooth,Triodopsis fallax,Terrestrial Snails
Minerva'S Flat-Headed Mayfly,Leucrocuta minerva,Mayflies
Miniature Awlsnail,Subulina octona,Terrestrial Snails
Mining Bee,Protandrena abdominalis,Other Bees
Minute Gem Snail,Hawaiia minuscula,Terrestrial Snails
Mirandunderwing,Catocala miranda,Underwing Moths
Mirror Shiner,Paranotropis spectrunculus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mississippi Kite,Ictinia mississippiensis,Birds
Mitchell Needlefly,Leuctra mitchellensis,Stoneflies
Mitchell'S Satyr,Neonympha mitchellii,Butterflies and Skippers
Mixed Dart Moth,Euxoa immixta,Other Moths
Mixed Long-Horned Caddisfly,Ceraclea diluta,Caddisflies
Mixed Trumpet-Net Caddisfly,Polycentropus confusus,Caddisflies
Modest Flat-Headed Mayfly,Maccaffertium modestum,Mayflies
Modest Northern Caddisfly,Ironoquia parvula,Caddisflies
Mole Salamander,Ambystoma talpoideum,Amphibians
Monarch,Danaus plexippus,Butterflies and Skippers
Monk Parakeet,Myiopsitta monachus,Birds
Montgomery County Cave Amphipod,Stygobromus fergusoni,Amphipods
Moraine Snowfly,Allocapnia mystica,Stoneflies
Morning-Glory Prominent Moth,Schizura ipomaeae,Notodontid Moths
Morrison'S Cave Amphipod,Stygobromus morrisoni,Amphipods
Morrison'S Sooty Dart Moth,Pseudohermonassa tenuicula,Other Moths
Mother Underwing Moth,Catocala parta,Underwing Moths
Mottled Duskywing,Erynnis martialis,Butterflies and Skippers
Mottled Euchlaenmoth,Euchlaena tigrinaria,Other Moths
Mottled Prominent,Macrurocampa marthesia,Notodontid Moths
Mottled Sculpin,Cottus bairdii,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mottled Willowfly,Strophopteryx fasciata,Stoneflies
Mountain Brook Lamprey,Ichthyomyzon greeleyi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mountain Chorus Frog,Pseudacris brachyphona,Amphibians
Mountain Creekshell,Leaunio vanuxemensis,Freshwater Mussels
Mountain Disc,Anguispira jessica,Terrestrial Snails
Mountain Madtom,Noturus eleutherus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mountain Needlefly,Leuctra monticola,Stoneflies
Mountain Redbelly Dace,Chrosomus oreas,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mountain Shiner,Lythrurus lirus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mournful Prong-Gilled Mayfly,Paraleptophlebia moerens,Mayflies
Mournful Underwing,Catocala flebilis,Underwing Moths
Mourning Cloak,Nymphalis antiopa,Butterflies and Skippers
Mourning Dove,Zenaida macroura,Birds
Mourning Free-Living Caddisfly,Rhyacophila atrata,Caddisflies
Mourning Warbler,Geothlypis philadelphia,Birds
Mucket,Ortmanniana ligamentina,Freshwater Mussels
Mud Amnicola,Amnicola limosus,Freshwater Snails
Mud Bithynia,Bithynia tentaculata,Freshwater Snails
Mud Salamander,Pseudotriton montanus,Amphibians
Mud Sunfish,Acantharchus pomotis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mudpuppy,Necturus maculosus,Amphibians
Multicolored Sedgeminer Moth,Meropleon diversicolor,Other Moths
Multispine Stone,Neoperla stewarti,Stoneflies
Mummichog,Fundulus heteroclitus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Muskellunge,Esox masquinongy,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Mute Swan,Cygnus olor,Birds
Muzarieuchlaena,Euchlaena muzaria,Other Moths
Myrinfritillary,Boloria myrina,Butterflies and Skippers
Mysterious Net-Spinning Caddisfly,Cheumatopsyche enigma,Caddisflies
Nais Tiger Moth,Apantesis nais,Tiger Moths
Nameless Pinion Moth,Lithophane innominata,Other Moths
Narrow Catspaw,Epioblasma lenior,Freshwater Mussels
Narrow-Lobed Needlefly,Leuctra tenuis,Stoneflies
Nashville Warbler,Leiothlypis ruficapilla,Birds
Natural Bridge Cave Beetle,Pseudanophthalmus pontis,Ground Beetles
Natural Bridge Cave Isopod,Pseudobaicalasellus bowmani,Isopods
Natural Bridge Supercoil,Paravitrea pontis,Terrestrial Snails
Needham'S Spiny Crawler Mayfly,Ephemerella needhami,Mayflies
Needham'S Stout Crawler Mayfly,Tricorythodes allectus,Mayflies
Neglected Hackle-Gilled Burrowing Mayfly,Anthopotamus neglectus,Mayflies
Neighboring Trumpet-Net Caddisfly,Nyctiophylax affinis,Caddisflies
Nelson Stripetail,Isoperla nelsoni,Stoneflies
Nelson'S Cave Beetle,Pseudanophthalmus nelsoni,Ground Beetles
Nelson'S Sparrow,Ammospiza nelsoni,Birds
Nessus Sphinx Moth,Amphion floridensis,Sphinx Moths
Net-Spinning Caddisfly,Hydropsyche bassi,Caddisflies
Nettle Sallfly,Sweltsa urticae,Stoneflies
New Castle Murder Hole Amphipod,Stygobromus interitus,Amphipods
New Jersey Chorus Frog,Pseudacris kalmi,Amphibians
New Jersey Teinchworm,Apodrepanulatrix liberaria,Other Moths
New River Crayfish,Cambarus chasmodactylus,Crayfishes
New River Shiner,Miniellus scabriceps,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
New River Valley Cave Beetle,Pseudanophthalmus egberti,Ground Beetles
Newfound Willowfly,Strophopteryx limata,Stoneflies
Newman'S Brocade,Meropleon ambifusca,Other Moths
Nicol'S Microcaddisfly,Hydroptila nicoli,Caddisflies
Nighttime Long-Horned Caddisfly,Triaenodes nox,Caddisflies
Noctuid Moth,Abagrotis magnicupida,Other Moths
Nocturnal Long-Horned Caddisfly,Oecetis nocturna,Caddisflies
Nondescript Dagger Moth,Acronicta spinigera,Other Moths
North American Deermouse,Peromyscus maniculatus,Mammals
North American Least Shrew,Cryptotis parva,Mammals
North American Porcupine,Erethizon dorsatum,Mammals
North American Racer,Coluber constrictor,Reptiles
North American Red Squirrel,Tamiasciurus hudsonicus,Mammals
North American River Otter,Lontra canadensis,Mammals
Northeastern Little Caddisfly,Neophylax aniqua,Caddisflies
Northeastern Sallfly,Sweltsa naica,Stoneflies
Northern Barrens Tiger Beetle,Cicindela patruela,Tiger Beetles
Northern Bobwhite,Colinus virginianus,Birds
Northern Broken-Dash,Polites egeremet,Butterflies and Skippers
Northern Burdock Borer Moth,Papaipema arctivorens,Papaipema Moths
Northern Cardinal,Cardinalis cardinalis,Birds
Northern Casemaker Caddisfly,Pycnopsyche flavata,Caddisflies
Northern Cloudywing,Thorybes pylades,Butterflies and Skippers
Northern Cottonmouth,Agkistrodon piscivorus,Reptiles
Northern Crescent,Phyciodes cocyta,Butterflies and Skippers
Northern Dusky Salamander,Desmognathus fuscus,Amphibians
Northern Flicker,Colaptes auratus,Birds
Northern Flying Squirrel,Glaucomys sabrinus,Mammals
Northern Gannet,Morus bassanus,Birds
Northern Gray-Cheeked Salamander,Plethodon montanus,Amphibians
Northern Harrier,Circus hudsonius,Birds
Northern Hoary Bat,Lasiurus cinereus,Mammals
Northern Hog Sucker,Hypentelium nigricans,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Northern House Wren,Troglodytes aedon,Birds
Northern Lake Crangonyctid,Crangonyx gracilis,Amphipods
Northern Lance,Elliptio fisheriana,Freshwater Mussels
Northern Map Turtle,Graptemys geographica,Turtles
Northern Metalmark,Calephelis borealis,Butterflies and Skippers
Northern Mockingbird,Mimus polyglottos,Birds
Northern Mole Kingsnake,Lampropeltis rhombomaculata,Reptiles
Northern Myotis,Myotis septentrionalis,Mammals
Northern Parula,Setophaga americana,Birds
Northern Pearly-Eye,Lethe anthedon,Butterflies and Skippers
Northern Petrophormoth,Petrophora subaequaria,Other Moths
Northern Pike,Esox lucius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Northern Pine Sphinx Moth,Lapara bombycoides,Sphinx Moths
Northern Pine Tussock Moth,Dasychira plagiata,Other Moths
Northern Pink-Striped Oakworm,Anisota virginiensis,Giant Silkworm and Royal Moths
Northern Pintail,Anas acuta,Birds
Northern Pygmy Salamander,Desmognathus organi,Amphibians
Northern Red-Bellied Cooter,Pseudemys rubriventris,Turtles
Northern Rough-Winged Swallow,Stelgidopteryx serripennis,Birds
Northern Saw-Whet Owl,Aegolius acadicus,Birds
Northern Short-Tailed Shrew,Blarina brevicauda,Mammals
Northern Shoveler,Spatula clypeata,Birds
Northern Slimy Salamander,Plethodon glutinosus,Amphibians
Northern Small Square-Gilled Mayfly,Caenis diminuta,Mayflies
Northern Spring Amphipod,Gammarus pseudolimnaeus,Amphipods
Northern Spring Azure,Celastrina lucia,Butterflies and Skippers
Northern Stone,Agnetina capitata,Stoneflies
Northern Studfish,Fundulus catenatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Northern Threetooth Snail,Triodopsis tridentata,Terrestrial Snails
Northern Two-Lined Salamander,Eurycea bislineata,Amphibians
Northern Virginiwell Amphipod,Stygobromus phreaticus,Amphipods
Northern Waterthrush,Parkesia noveboracensis,Birds
Norton'S Alkali Bee,Nomia nortoni,Sweat Bees (in part)
Notched Forestfly,Ostrocerca complexa,Stoneflies
Notched Rainbow,Venustaconcha constricta,Freshwater Mussels
Notchlip Redhorse,Moxostoma collapsum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Nottaway Stone,Perlesta cranshawi,Stoneflies
Novscotia Trumpet-Net Caddisfly,Plectrocnemia nascotia,Caddisflies
Nubbin Threetooth,Triodopsis obsoleta,Terrestrial Snails
Oak Besmmoth,Besma quercivoraria,Other Moths
Oak Hairstreak,Satyrium favonius,Butterflies and Skippers
Oak Toad,Anaxyrus quercicus,Amphibians
Obelisk Dart Moth,Euxoa obeliscoides,Other Moths
Obese Thorn Snail,Carychium exiguum,Terrestrial Snails
Oblique Grass Moth,Amolita obliqua,Other Moths
Oblique Heterocampa,Heterocampa obliqua,Notodontid Moths
Oblique Zale Moth,Zale obliqua,Other Moths
Oblique-Lined Tiger Beetle,Cicindela tranquebarica,Tiger Beetles
Oblong Sedge Borer Moth,Globia oblonga,Other Moths
Obscure Howdy Mayfly,Isonychia obscura,Mayflies
Obscure Underwing,Catocala obscura,Underwing Moths
Ocellated Darner,Boyeria grafiana,Dragonflies and Damselflies
Ochre Euchlaenmoth,Euchlaena marginaria,Other Moths
Ohio Lamprey,Ichthyomyzon bdellium,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Ohio Pigtoe,Pleurobema cordatum,Freshwater Mussels
Ohio Sallfly,Alloperla imbecilla,Stoneflies
Ohio Shrimp,Macrobrachium ohione,Other Crustaceans
Ohio Stoneroller,Campostoma anomalum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Old Man Dart Moth,Agrotis vetusta,Other Moths
Oldfield Coil,Lucilla scintilla,Terrestrial Snails
Oldwife Underwing,Catocala palaeogama,Underwing Moths
Olive Arches Moth,Lacinipolia olivacea,Other Moths
Olive-Sided Flycatcher,Contopus cooperi,Birds
Olympimarble,Euchloe olympia,Butterflies and Skippers
Once-Married Underwing Moth,Catocala unijuga,Underwing Moths
One-Spotted Tiger Beetle,Apterodela unipunctata,Ground Beetles
Ontario Bizarre Caddisfly,Lepidostoma ontario,Caddisflies
Ontario Prong-Gilled Mayfly,Paraleptophlebia ontario,Mayflies
Ontario Sallfly,Sweltsa onkos,Stoneflies
Ontario Trumpet-Net Caddisfly,Polycentropus pentus,Caddisflies
Onyx Rocksnail,Leptoxis praerosa,Freshwater Snails
Opaque Round Fungus Beetle,Prionochaeta opaca,Other Beetles
Orange Microcaddisfly,Hydroptila hamata,Caddisflies
Orange Panopoda,Panopoda repanda,Other Moths
Orange Sulphur,Colias eurytheme,Butterflies and Skippers
Orange-Crowned Warbler,Leiothlypis celata,Birds
Orange-Patched Smoky Moth,Pyromorpha dimidiata,Other Moths
Orangefin Madtom,Noturus gilberti,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Orchard Oriole,Icterus spurius,Birds
Organ Cavesnail,Fontigens tartarea,Freshwater Snails
Ornamental Net-Spinning Caddisfly,Hydropsyche phalerata,Caddisflies
Ornate Bellmoth,Utetheisa ornatrix,Tiger Moths
Ornate Little Caddisfly,Neophylax ornatus,Caddisflies
Ornate Pennant,Celithemis ornata,Dragonflies and Damselflies
Ornate Stone,Acroneuria yuchi,Stoneflies
Orndorff'S Cave Isopod,Lirceus orndorffi,Isopods
Osmundborer Moth,Papaipema speciosissima,Papaipema Moths
Osprey,Pandion haliaetus,Birds
Osten'S Long-Horned Caddisfly,Oecetis osteni,Caddisflies
Outlined Microcaddisfly,Hydroptila delineata,Caddisflies
Oval Abrostolmoth,Abrostola ovalis,Other Moths
Oval Ambersnail,Novisuccinea ovalis,Terrestrial Snails
Oval-Based Prominent Moth,Peridea basitriens,Notodontid Moths
Ovate Dagger Moth,Acronicta ovata,Other Moths
Ovate Vertigo Snail,Vertigo ovata,Terrestrial Snails
Ovenbird,Seiurus aurocapilla,Birds
Overlooked Cave Beetle,Pseudanophthalmus praetermissus,Ground Beetles
Oxen Net-Spinning Caddisfly,Cheumatopsyche oxa,Caddisflies
Oxycillcane Moth,Oxycilla mitographa,Other Moths
Oyster Mussel,Epioblasma capsaeformis,Freshwater Mussels
Ozark Stripetail,Isoperla namata,Stoneflies
Pacific Willowfly,Taenionema pacificum,Stoneflies
Packard'S Lichen Moth,Cisthene packardii,Tiger Moths
Paddlefish,Polyodon spathula,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Pagodhornsnail,Pleurocera uncialis,Freshwater Snails
Painted Bizarre Caddisfly,Lepidostoma pictile,Caddisflies
Painted Lady,Vanessa cardui,Butterflies and Skippers
Painted Lichen Moth,Hypoprepia fucosa,Tiger Moths
Painted Small Minnow Mayfly,Procloeon rubropictum,Mayflies
Painted Turtle,Chrysemys picta,Turtles
Painted-Foot Microcaddisfly,Leucotrichia pictipes,Caddisflies
Palamedes Swallowtail,Pterourus palamedes,Butterflies and Skippers
Palatkskipper,Euphyes pilatka,Butterflies and Skippers
Pale Beauty Moth,Campaea perlata,Other Moths
Pale Firefly,Photinus scintillans,Fireflies and Glow-worms
Pale Glyph,Glyphyalinia lewisiana,Terrestrial Snails
Pale Glyph Moth,Protodeltote albidula,Other Moths
