common_name,scientific_name,category
Beautiful Net-Spinning Caddisfly,Cheumatopsyche speciosa,Caddisflies
Beautiful Stone,Paragnetina immarginata,Stoneflies
Bee,Anthophorula micheneri,Other Bees
Beetle,Paralichas trivittis,Other Beetles
Beggar Leafcutter Bee,Megachile mendica,Leafcutter Bees
Beggar Moth,Eubaphe mendica,Other Moths
Bellflower Leafcutter Bee,Megachile campanulae,Leafcutter Bees
Beloved Emarginemoth,Emarginea percara,Other Moths
Belted Kingfisher,Megaceryle alcyon,Birds
Benfield'S Bearded Small Minnow Mayfly,Barbaetis benfieldi,Mayflies
Bent Forestfly,Ostrocerca prolongata,Stoneflies
Bent Net-Spinning Caddisfly,Cheumatopsyche campyla,Caddisflies
Bent-Line Carpet Moth,Costaconvexa centrostrigaria,Other Moths
Bent-Line Gray Moth,Iridopsis larvaria,Other Moths
Berner'S Ephemerellmayfly,Tsalia berneri,Mayflies
Bethany Beach Firefly,Photuris bethaniensis,Fireflies and Glow-worms
Betten'S Net-Spinning Caddisfly,Hydropsyche betteni,Caddisflies
Bewick'S Wren,Thryomanes bewickii,Birds
Bicknell'S Thrush,Catharus bicknelli,Birds
Bicolor Spiny Crawler Mayfly,Eurylophella bicolor,Mayflies
Bicolored Moth,Manulea bicolor,Tiger Moths
Bicolored Sallow Moth,Sunira bicolorago,Other Moths
Bicoloured Sweat Bee,Agapostemon virescens,Striped Sweat Bees
Bidentate Dome,Ventridens coelaxis,Terrestrial Snails
Bifid-Horned Firefly,Pollaclasis bifaria,Fireflies and Glow-worms
Big Brown Bat,Eptesicus fuscus,Mammals
Big Dipper Firefly,Photinus pyralis,Fireflies and Glow-worms
Big Levels Salamander,Plethodon sherando,Amphibians
Big Poplar Sphinx Moth,Pachysphinx modesta,Sphinx Moths
Big Sand Tiger Beetle,Cicindela formosa,Tiger Beetles
Big Sandy Crayfish,Cambarus callainus,Crayfishes
Big Stripetail,Isoperla major,Stoneflies
Big Water Crayfish,Cambarus robustus,Crayfishes
Big-Eared Radix,Radix auricularia,Freshwater Snails
Big-Horned Spiny Crawler Mayfly,Drunella cornuta,Mayflies
Big-Tooth Whitelip,Neohelix dentifera,Terrestrial Snails
Bigeye Chub,Hybopsis amblops,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bigeye Jumprock,Moxostoma ariommum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Biggers' Cave Amphipod,Stygobromus biggersi,Amphipods
Bigmouth Chub,Nocomis platyrhynchus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
